Business_Model,Year,Revenue,Operating_Profit,Net_Profit,Cumulative_Profit,ROI_Percent,Success_Probability,Initial_Investment
AI-Enhanced Local Service Business,2025,25000.0,8750.0,7750.0,7750.0,155.0,0.75,5000
AI-Enhanced Local Service Business,2026,35688.0,12491.0,11491.0,19241.0,384.8,0.75,5000
AI-Enhanced Local Service Business,2027,50142.0,17550.0,16550.0,35791.0,715.8,0.75,5000
AI-Enhanced Local Service Business,2028,69321.0,24262.0,23262.0,59053.0,1181.1,0.75,5000
AI-Enhanced Local Service Business,2029,94277.0,32997.0,31997.0,91050.0,1821.0,0.75,5000
Community Token Pre-Order System,2025,15000.0,3750.0,3150.0,3150.0,105.0,0.4,3000
Community Token Pre-Order System,2026,18562.0,4641.0,4041.0,7191.0,239.7,0.4,3000
Community Token Pre-Order System,2027,22738.0,5685.0,5085.0,12276.0,409.2,0.4,3000
Community Token Pre-Order System,2028,27570.0,6892.0,6292.0,18568.0,618.9,0.4,3000
Community Token Pre-Order System,2029,33084.0,8271.0,7671.0,26239.0,874.6,0.4,3000
Sustainable Energy AI Consulting,2025,20000.0,6000.0,5200.0,5200.0,130.0,0.6,4000
Sustainable Energy AI Consulting,2026,27220.0,8166.0,7366.0,12566.0,314.2,0.6,4000
Sustainable Energy AI Consulting,2027,36529.0,10959.0,10159.0,22725.0,568.1,0.6,4000
Sustainable Energy AI Consulting,2028,48328.0,14498.0,13698.0,36423.0,910.6,0.6,4000
Sustainable Energy AI Consulting,2029,63020.0,18906.0,18106.0,54529.0,1363.2,0.6,4000
Creative Content + Token Rewards,2025,15000.0,3750.0,3150.0,3150.0,105.0,0.4,3000
Creative Content + Token Rewards,2026,18562.0,4641.0,4041.0,7191.0,239.7,0.4,3000
Creative Content + Token Rewards,2027,22738.0,5685.0,5085.0,12276.0,409.2,0.4,3000
Creative Content + Token Rewards,2028,27570.0,6892.0,6292.0,18568.0,618.9,0.4,3000
Creative Content + Token Rewards,2029,33084.0,8271.0,7671.0,26239.0,874.6,0.4,3000
Local Food Network with Tokens,2025,15000.0,3750.0,3150.0,3150.0,105.0,0.4,3000
Local Food Network with Tokens,2026,18562.0,4641.0,4041.0,7191.0,239.7,0.4,3000
Local Food Network with Tokens,2027,22738.0,5685.0,5085.0,12276.0,409.2,0.4,3000
Local Food Network with Tokens,2028,27570.0,6892.0,6292.0,18568.0,618.9,0.4,3000
Local Food Network with Tokens,2029,33084.0,8271.0,7671.0,26239.0,874.6,0.4,3000
AI Tutoring + Community Currency,2025,15000.0,3750.0,3150.0,3150.0,105.0,0.4,3000
AI Tutoring + Community Currency,2026,18562.0,4641.0,4041.0,7191.0,239.7,0.4,3000
AI Tutoring + Community Currency,2027,22738.0,5685.0,5085.0,12276.0,409.2,0.4,3000
AI Tutoring + Community Currency,2028,27570.0,6892.0,6292.0,18568.0,618.9,0.4,3000
AI Tutoring + Community Currency,2029,33084.0,8271.0,7671.0,26239.0,874.6,0.4,3000
Digital Art Creation + NFT Tokens,2025,15000.0,3750.0,3150.0,3150.0,105.0,0.4,3000
Digital Art Creation + NFT Tokens,2026,18562.0,4641.0,4041.0,7191.0,239.7,0.4,3000
Digital Art Creation + NFT Tokens,2027,22738.0,5685.0,5085.0,12276.0,409.2,0.4,3000
Digital Art Creation + NFT Tokens,2028,27570.0,6892.0,6292.0,18568.0,618.9,0.4,3000
Digital Art Creation + NFT Tokens,2029,33084.0,8271.0,7671.0,26239.0,874.6,0.4,3000
Urban Agriculture + Token Economy,2025,15000.0,3750.0,3150.0,3150.0,105.0,0.4,3000
Urban Agriculture + Token Economy,2026,18562.0,4641.0,4041.0,7191.0,239.7,0.4,3000
Urban Agriculture + Token Economy,2027,22738.0,5685.0,5085.0,12276.0,409.2,0.4,3000
Urban Agriculture + Token Economy,2028,27570.0,6892.0,6292.0,18568.0,618.9,0.4,3000
Urban Agriculture + Token Economy,2029,33084.0,8271.0,7671.0,26239.0,874.6,0.4,3000
