Container_Type,Scale,Total_Investment,Monthly_Revenue,Annual_Profit,ROI_Percent,Payback_Months,Community_Impact,Startup_Days,Replication_Difficulty
Security-Delivery-Hub,1x,25000,8500.0,35700.0,142.8,8.4,297840.0,30,Low
Security-Delivery-Hub,3x,55000,33150.0,139230.0,253.1,4.7,1161576.0,30,Low
Security-Delivery-Hub,5x,85000,68000.0,285600.0,336.0,3.6,2382720.0,30,Low
Security-Delivery-Hub,10x,160000,199750.0,838950.0,524.3,2.3,6999240.0,30,Low
Bulk-Purchase-Cooperative,1x,15000,6200.0,18600.0,124.0,9.7,214272.0,45,Medium
Bulk-Purchase-Cooperative,3x,31000,24180.0,72540.0,234.0,5.1,835661.0,45,Medium
Bulk-Purchase-Cooperative,5x,47000,49600.0,148800.0,316.6,3.8,1714176.0,45,Medium
Bulk-Purchase-Cooperative,10x,87000,145700.0,437100.0,502.4,2.4,5035392.0,45,Medium
Community-Shuttle-Network,1x,35000,12000.0,57600.0,164.6,7.3,418176.0,60,Medium
Community-Shuttle-Network,3x,75000,46800.0,224640.0,299.5,4.0,1630886.0,60,Medium
Community-Shuttle-Network,5x,115000,96000.0,460800.0,400.7,3.0,3345408.0,60,Medium
Community-Shuttle-Network,10x,215000,282000.0,1353600.0,629.6,1.9,9827136.0,60,Medium
Token-Rewards-Platform,1x,12000,4800.0,25920.0,216.0,5.6,161280.0,20,Low
Token-Rewards-Platform,3x,24000,18720.0,101088.0,421.2,2.8,628992.0,20,Low
Token-Rewards-Platform,5x,36000,38400.0,207360.0,576.0,2.1,1290240.0,20,Low
Token-Rewards-Platform,10x,66000,112800.0,609120.0,922.9,1.3,3790080.0,20,Low
Neighborhood-Food-Hub,1x,18000,9500.0,34200.0,190.0,6.3,334704.0,35,Medium
Neighborhood-Food-Hub,3x,42000,37050.0,133380.0,317.6,3.8,1305346.0,35,Medium
Neighborhood-Food-Hub,5x,66000,76000.0,273600.0,414.5,2.9,2677632.0,35,Medium
Neighborhood-Food-Hub,10x,126000,223250.0,803700.0,637.9,1.9,7865544.0,35,Medium
